movie_name,biehn_scale_rating,biehn_yes_or_no,tmdb_id,imdb_id,budget,primary_genre,secondary_genre,tmdb_popularity,revenue,runtime,tmdb_vote_average,tmdb_vote_count,imdb_rating,imdb_votes,year,rt_critic_score,metascore,rt_audience_score
Signs,6.6,Yes,2675,tt0286106,72000000,Drama,Thriller,20.235,408247917,106,6.6,4295,6.7,350637.0,2002.0,74%,59,
21 Jump Street,8.0,Yes,64688,tt1232829,42000000,Action,Comedy,52.713,201585328,109,6.9,8546,7.2,532911.0,2012.0,85%,69,82
Extraction,6.1,Yes,545609,tt8936646,65000000,Drama,Action,51.967,0,116,7.4,4227,6.7,182902.0,2020.0,67%,56,69
A Bronx Tale,8.6,Yes,1607,tt0106489,10000000,Drama,Crime,15.636,17287898,121,7.8,1507,7.8,135096.0,1993.0,97%,80,93
Jumanji,9.7,Yes,512200,tt7975244,125000000,Adventure,Comedy,105.146,800059707,123,7.0,6418,6.7,222307.0,2019.0,71%,58,
Jumanji: Welcome to the Jungle,5.9,Yes,353486,tt2283362,90000000,Adventure,Action,68.009,962102237,119,6.8,11204,6.9,349709.0,2017.0,76%,58,87
Jumanji: Next Level,3.0,No,512200,tt7975244,125000000,Adventure,Comedy,105.146,800059707,123,7.0,6418,6.7,222307.0,2019.0,71%,58,87
Ready or Not,4.4,No,567609,tt7798634,6000000,Horror,Thriller,43.736,57615777,95,7.0,2848,6.9,131651.0,2019.0,88%,64,
Crawl,7.5,Yes,511987,tt8364368,13500000,Thriller,Horror,62.385,89203432,88,6.3,2331,6.1,78841.0,2019.0,83%,60,75
Eurovision Song Contest: The Story of Fire Saga,5.3,Yes,531454,tt8580274,0,Comedy,Music,12.185,0,123,6.4,974,6.5,87288.0,2020.0,63%,50,77
The Old Guard,6.0,Yes,547016,tt7556122,70000000,Action,Fantasy,19.21,0,125,7.3,3082,6.7,148929.0,2020.0,80%,70,70
Booksmart,8.1,Yes,505600,tt1489887,6000000,Comedy,,22.917,24849029,102,7.1,1899,7.2,108387.0,2019.0,96%,84,77
Scary Stories to Tell in the Dark,6.2,Yes,417384,tt3387520,25000000,Horror,Thriller,36.752,95438172,108,6.5,1994,6.2,70201.0,2019.0,77%,61,72
Palm Springs,8.9,Yes,587792,tt9484998,0,Comedy,Romance,17.167,164000,90,7.3,1875,7.4,136443.0,2020.0,95%,83,88
Beverly Hills Ninja,8.6,Yes,9622,tt0118708,0,Comedy,Action,22.124,0,88,5.7,570,5.6,40621.0,1997.0,14%,27,53
The Girl Next Door,7.3,No,10591,tt0265208,21000000,Comedy,Romance,37.47,31635150,110,6.7,2578,6.7,216735.0,2004.0,56%,47,
Talladega Nights: The Ballad of Ricky Bobby,8.9,Yes,9718,tt0415306,72500000,Comedy,,13.946,162966177,107,6.4,1192,6.6,176460.0,2006.0,71%,66,73
Air Force One,,,9772,tt0118571,85000000,Action,Thriller,16.549,315156409,124,6.4,2193,6.5,188930.0,1997.0,78%,61,66
Pineapple Express,9.7,Yes,10189,tt0910936,27000000,Action,Comedy,16.788,101624843,111,6.6,2910,6.9,327833.0,2008.0,,64,
